Token,NER_label
وگوی,O
،,I_PER
زاهدان,B_LOC
را,O
مددجویان,O
که,O
ایران,B_LOC
پنج,B_DAT
مراجعه,O
،,I_ORG
می,O
یونسکو,B_ORG
کشاورزی,O
دیده,B_ORG
اخوان,I_PER
همچنین,O
عراق,B_mainLOC
۶,B_DAT
و,O
با,I_EVE
اباالفضل,I_EVE
استناد,O
ره,I_ORG
دانشجو,I_ORG
تالاب,I_ORG
رییس,B_ORG
اموزش,I_ORG
پاسداران,I_ORG
جمعهای,O
ایران,B_LOC
شهادت,I_EVE
بارسا,B_PER
،,O
اخبار,O
فاضل,B_PER
مراسم,O
جوانان,I_ORG
ملی,O
مصلی,B_LOC
اسکندر,B_PER
یک,O
دفاع,I_EVE
شرقی,I_LOC
##ون,I_PER
با,O
و,O
ریگی,I_PER
از,I_DAT
احیای,O
بین,I_ORG
در,O
گزارش,O
ایرنا,B_ORG
بود,O
۲۰,O
وپرورش,I_ORG
و,O
سردار,O
دانمارک,B_LOC
علیه,I_PER
ابرو,O
امکان,O
فیض,O
کم,O
سوخته,O
در,O
سایت,B_ORG
و,O
های,I_ORG
دوم,I_NAT
و,O
داده,O
سال,O
کنند,O
برخی,O
یک,B_DAT
تیم,O
چذابه,B_LOC
منطقه,B_LOC
اروپا,I_ORG
ساله,I_DAT
،,O
تور,O
معنوی,O
از,O
بایدن,B_PER
او,O
اظهار,O
مورد,O
جمشید,B_PER
،,O
سیاه,I_PER
به,O
ایران,B_NAT
و,O
کشور,I_NAT
به,O
سبز,O
بینی,O
ستاد,I_PER
بازار,O
نیاز,O
عمومی,I_PER
شهرستان,B_LOC
##يه,I_ORG
بودجه,I_ORG
تشخیص,O
العباس,I_EVE
سال,B_DAT
هرج,O
یحیی,B_PER
تعاون,B_ORG
تعلیم,I_ORG
که,O
زلفی,I_PER
ع,I_PER
نویسندگی,O
اسلامی,I_ORG
بروز,O
امام,I_ORG
شیوه,O
ملم,I_PER
سه,O
کربلای,I_EVE
سعید,B_PER
